partType,name,image,url,type,space
storage,Western Digital Blue SN500 250 GB M.2-2280 PCIe 3.0 X2 NVME Solid State Drive (WDS250G1B0C),https://m.media-amazon.com/images/I/41nVYnsGw+L.jpg,https://pcpartpicker.com/product/73hKHx/western-digital-blue-sn500-250-gb-m2-2280-solid-state-drive-wds250g1b0c,NVME,250
storage,TEAMGROUP T-Force Cardea Z44L 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (TM8FPL250G0C127),https://m.media-amazon.com/images/I/41JZmso+DQL.jpg,https://pcpartpicker.com/product/Yqt9TW/teamgroup-t-force-cardea-z44l-250-gb-m2-2280-nvme-solid-state-drive-tm8fpl250g0c127,NVME,250
storage,Western Digital Black SN750 SE 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (WDS250G1B0E),https://cdna.pcpartpicker.com/static/forever/images/product/08105799a06f56c779261642b857dd7f.256p.jpg,https://pcpartpicker.com/product/JphFf7/western-digital-wd_black-sn750-se-250-gb-m2-2280-nvme-solid-state-drive-wds250g1b0e,NVME,250
storage,Crucial MX500 250 GB M.2-2280 SATA Solid State Drive (CT250MX500SSD4),https://cdna.pcpartpicker.com/static/forever/images/product/d7f3021a9a05e15649c88a9734ed49a7.256p.jpg,https://pcpartpicker.com/product/n4PKHx/crucial-mx500-250gb-m2-2280-solid-state-drive-ct250mx500ssd4,NVME,250
storage,PNY XLR8 CS3030 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (M280CS3030-250-RB),https://cdna.pcpartpicker.com/static/forever/images/product/a8a23703b2021a75e31ca15ce00b9102.256p.jpg,https://pcpartpicker.com/product/jD848d/pny-xlr8-cs3030-250-gb-m2-2280-nvme-solid-state-drive-m280cs3030-250-rb,NVME,250
storage,ADATA Swordfish 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (ASWORDFISH-250G-C),https://m.media-amazon.com/images/I/41IhbWsbCWL.jpg,https://pcpartpicker.com/product/cTxbt6/adata-swordfish-250-gb-m2-2280-nvme-solid-state-drive-aswordfish-250g-c,NVME,250
storage,Silicon Power UD85 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SP250GBP44UD8505),https://cdna.pcpartpicker.com/static/forever/images/product/b80655b61313a25a93040d7c5a41e56c.256p.jpg,https://pcpartpicker.com/product/PZLdnQ/silicon-power-ud85-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp250gbp44ud8505,NVME,250
storage,Western Digital Blue SA510 250 GB M.2-2280 SATA Solid State Drive (WDS250G3B0B),https://cdna.pcpartpicker.com/static/forever/images/product/796ed8115e6cefe358ef53bfc2fa3130.256p.jpg,https://pcpartpicker.com/product/mX7G3C/western-digital-blue-sa510-250-gb-m2-2280-solid-state-drive-wds250g3b0b,NVME,250
storage,Western Digital Red 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS250G1R0C),https://cdna.pcpartpicker.com/static/forever/images/product/9533283915dc0f05e3367cf9acf0591e.256p.jpg,https://pcpartpicker.com/product/mVLFf7/western-digital-wd-red-sn700-250-gb-m2-2280-nvme-solid-state-drive-wds250g1r0c,NVME,250
storage,Crucial P5 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (CT250P5SSD8),https://cdna.pcpartpicker.com/static/forever/images/product/e46c5aa8f074885dd4e90806b2725969.256p.jpg,https://pcpartpicker.com/product/cv7p99/crucial-p5-250-gb-m2-2280-nvme-solid-state-drive-ct250p5ssd8,NVME,250
storage,Western Digital Black NVMe 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS250G2X0C),https://cdna.pcpartpicker.com/static/forever/images/product/135d7e90e93b70cf796ddf36aece6d32.256p.jpg,https://pcpartpicker.com/product/kGndnQ/western-digital-black-nvme-250gb-m2-2280-solid-state-drive-wds250g2x0c,NVME,250
storage,KIOXIA EXCERIA 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (LRC10Z250GG8),https://cdna.pcpartpicker.com/static/forever/images/product/20c39a2ab3c801fee8c7c8f4afc77f8d.256p.jpg,https://pcpartpicker.com/product/TYjBD3/kioxia-exceria-250-gb-m2-2280-nvme-solid-state-drive-lrc10z250gg8,NVME,250
storage,TEAMGROUP MP44L 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (TM8FPK250G0C101),https://cdna.pcpartpicker.com/static/forever/images/product/bf5ef61b04ba1236b86cf004eae91a9c.256p.jpg,https://pcpartpicker.com/product/b2hFf7/teamgroup-mp44l-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpk250g0c101,NVME,250
storage,Western Digital Blue 250 GB M.2-2280 SATA Solid State Drive (WDS250G1B0B),https://cdna.pcpartpicker.com/static/forever/images/product/61f2120808b1d3da31584fe6bb602f38.256p.jpg,https://pcpartpicker.com/product/smBrxr/western-digital-blue-250gb-m2-2280-solid-state-drive-wds250g1b0b,NVME,250
storage,Inland Prime 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (618996750016),https://m.media-amazon.com/images/I/41yJuf8OF8L.jpg,https://pcpartpicker.com/product/v9gFf7/inland-prime-250-gb-m2-2280-nvme-solid-state-drive-618996750016,NVME,250
