name,rating,price,amazon_link,image_link,tdp,socket,supported_memory,core_count,thread_count,performance_core_clock,boost_clock,cache,lithography,generation
Intel Core i5-9500F 3 GHz 6-Core Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/49771d14d439cdcb225dcf97e3e4cb20.256p.jpg,65,LGA 1151,DDR4,6,6,3,4.4,9,14,Intel Coffee Lake Refresh
Intel Core i7-965 Extreme Edition 3.2 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,130,LGA 1366,DDR4,4,8,3.2,N/A,8,45,Intel Nehalem
Intel Core i7-10700F 2.9 GHz 8-Core Processor,4.8,220.9,https://www.amazon.com/dp/B086MN2XYL?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41P4d+8jqLL.jpg,65,LGA 1200,DDR4,8,16,2.9,4.8,16,14,Intel Comet Lake
AMD Phenom II X4 940 Black 3 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://m.media-amazon.com/images/I/51jrL0bbCwL.jpg,125,AM2+,DDR4,4,4,3,N/A,6,45,AMD K10
AMD Phenom II X6 1045T 2.7 GHz 6-Core Processor,4.3,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/51KwnH%2BBduL.jpg,95,AM3,DDR4,6,6,2.7,N/A,6,45,AMD K10
AMD Ryzen 5 2400G 3.6 GHz Quad-Core Processor,4.8,135.0,https://www.amazon.com/dp/B079D8FD28?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/320f71912f65606aa2075161dc798c3d.256p.jpg,65,AM4,DDR4,4,8,3.6,3.9,4,14,AMD Zen
AMD Ryzen 9 7900X3D 4.4 GHz 12-Core Processor,4.9,549.0,https://www.amazon.com/dp/B0BTRRNK7T?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/98c4874ed550e2bbcc2d29d67177ddc8.256p.jpg,120,AM5,DDR5,12,24,4.4,5.6,128,5,AMD Zen 4
Intel Core i5-7600T 2.8 GHz Quad-Core OEM/Tray Processor,N/A,229.95,https://www.amazon.com/dp/B01MS4OCSB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://images-eu.ssl-images-amazon.com/images/I/51ZMybQM3cL.jpg,35,LGA 1151,DDR4,4,4,2.8,3.7,6,14,Intel Kaby Lake
Intel Core i9-7940X 3.1 GHz 14-Core OEM/Tray Processor,N/A,N/A,N/A,https://images-eu.ssl-images-amazon.com/images/I/51jVF96A0XL.jpg,165,LGA 2066,DDR4,14,28,3.1,4.4,19.25,14,Intel Skylake
Intel Core i3-9100F 3.6 GHz Quad-Core Processor,4.5,110.0,https://www.amazon.com/dp/B07R7Q3JZH?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/0d74fb44f832ad674549787311aafa0f.256p.jpg,65,LGA 1151,DDR4,4,4,3.6,4.2,6,14,Intel Coffee Lake Refresh
