name,rating,price,shop_url,image_url,tdp,type,clock
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory,4.8,77.9,https://www.amazon.com/dp/B006EWUO22?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/51epHDwf7lL.jpg,2,DDR3,1600
Silicon Power SP016GLLTU160N22 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory,4.5,14.9,https://www.amazon.com/dp/B07RDKRRKM?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/03862fe576104a6e89282ca9a5bc8148.256p.jpg,2,DDR3,1600
G.Skill Ripjaws 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory,4.9,31.7,https://www.shareasale.com/r.cfm?u=530512&b=150&m=95635&urllink=www.memoryc.com%2F11420-8gb-g-skill-ddr3-pc3-12800-1600mhz-ripjaw-series-9-9-9-24-dual-channel-kit-for-intel-lga1156-am3.html,https://cdna.pcpartpicker.com/static/forever/images/product/33a0401a7ad66ac27e15195063a016a2.256p.jpg,2,DDR3,1600
Patriot Viper 3 16 GB (2 x 8 GB) DDR3-1866 CL10 Memory,4.6,22.9,https://www.amazon.com/dp/B00453R90W?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41FTZK2Nf7L.jpg,2,DDR3,1866
G.Skill Ripjaws X 16 GB (2 x 8 GB) DDR3-1600 CL10 Memory,4.7,36.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fg-skill-16gb-ddr3-1600%2Fp%2FN82E16820231489,https://cdna.pcpartpicker.com/static/forever/images/product/2352962913e9ad87a8a45ab417e202cf.256p.jpg,2,DDR3,1600
Samsung M378B5173DB0-CK0 4 GB (1 x 4 GB) DDR3-1600 CL11 Memory,4.0,18.8,https://www.amazon.com/dp/B00HNP1OGY?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/412KwK7ry1L.jpg,1,DDR3,1600
Patriot Signature 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory,5.0,10.7,https://www.amazon.com/dp/B007HILOWG?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/5390c9f7aba016f79464e40ca71a994b.256p.jpg,1,DDR3,1600
Kingston KVR1333D3N9/4G 4 GB (1 x 4 GB) DDR3-1333 CL9 Memory,3.0,21.22,https://www.amazon.com/dp/B002K23V1Q?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41I2G3qncqL.jpg,1,DDR3,1333
Kingston HyperX Fury 16 GB (2 x 8 GB) DDR3-1866 CL10 Memory,4.9,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/f5e970b32d6341614fdafff924304d72.256p.jpg,2,DDR3,1866
Kingston KVR13N9S6/2 2 GB (1 x 2 GB) DDR3-1333 CL9 Memory,4.5,15.49,https://www.amazon.com/dp/B00HV6V56O?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/a3cbd50ab70038737cae88535d08d1db.256p.jpg,1,DDR3,1333
Corsair Vengeance Pro 16 GB (2 x 8 GB) DDR3-2400 CL11 Memory,4.9,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/897f26d25460c45259a10dbbf46cbffc.256p.jpg,2,DDR3,2400
Samsung MV-3V4G3D/US 8 GB (2 x 4 GB) DDR3-1600 CL11 Memory,4.8,0.0,unknown,https://static/forever/img/no-image.png,2,DDR3,1600
Corsair Vengeance Pro 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory,5.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/86b79226ae4e37c2767cb6036842fc79.256p.jpg,4,DDR3,1600
PNY MD32768K4D3-1600-X9 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory,0.0,0.0,unknown,https://m.media-amazon.com/images/I/51tXNygVVoL.jpg,4,DDR3,1600
Samsung MV-3V2G3/US 2 GB (1 x 2 GB) DDR3-1600 CL11 Memory,0.0,34.99,https://www.amazon.com/dp/B00591ZZ3M?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/41J56KyZsgL.jpg,1,DDR3,1600
Kingston HyperX Savage 32 GB (4 x 8 GB) DDR3-2133 CL11 Memory,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/2ecab0dba80dd88d232b526a50332200.256p.jpg,4,DDR3,2133
GeIL GeIL 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model GALS416GB3600C18ADC 16 GB (2 x 8 GB) DDR4-3600 CL18 Memory,5.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/9268a90b17874de36e20ca0e33af0463.256p.jpg,2,DDR4,3600
Silicon Power SP016GBLFU320B22 16 GB (2 x 8 GB) DDR4-3200 CL22 Memory,4.7,23.9,https://www.amazon.com/dp/B0924LFB3Z?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41tZyzkQWTS.jpg,2,DDR4,3200
