name,rating,price,amazon_link,image_link,tdp,socket,chipset,ram_type,ram_max_speed,ram_slot,ram_max,pcie_x16_slot,pcie_x1_slot,m2_slot,sata_slot,lan,wifi,form_factor
Supermicro MBD-X11SSV-Q-O Mini ITX LGA1151 Motherboard,N/A,314.01,https://www.amazon.com/dp/B0150VKX1Y?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/4a8f59dd3ab81797d436c9d6ff91d99f.256p.jpg,80,LGA 1151,Intel Q170,DDR4,0,2,32,1,0,1,5,2x 1GB/s,No,Mini-ITX
Gigabyte GA-B250N-Phoenix WIFI Mini ITX LGA1151 Motherboard,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/5c36852e3ab479f0d624a583bf6162d0.256p.jpg,80,LGA 1151,Intel B250,DDR4,0,2,32,1,0,1,4,1x 1GB/s,Wi-Fi 5,Mini-ITX
EVGA Z270 Stinger Mini ITX LGA1151 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7db37e5e38bd4ea8f641b230292e47fd.256p.jpg,80,LGA 1151,Intel Z270,DDR4,0,2,32,1,0,1,4,1x 1GB/s,Wi-Fi 5,Mini-ITX
MSI B460M PRO-VDH WIFI Micro ATX LGA1200 Motherboard,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ae77a055d3c505f261e8525b209b724e.256p.jpg,80,LGA 1200,Intel B460,DDR4,0,4,128,1,2,2,4,1x 1GB/s,Wi-Fi 5,Micro-ATX
ASRock H470M-HVS Micro ATX LGA1200 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/aa2ceab4dc9713763804e80bf4d79044.256p.jpg,80,LGA 1200,Intel H470,DDR4,0,2,64,1,1,0,4,1x 1GB/s,No,Micro-ATX
Gigabyte B560 DS3H AC ATX LGA1200 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/0deb2420299098824fb58d364339023b.256p.jpg,80,LGA 1200,Intel B560,DDR4,0,4,128,5,0,2,6,1x 1GB/s,Wi-Fi 5,ATX
Asus ROG MAXIMUS XII HERO (WI-FI) ATX LGA1200 Motherboard,4.5,636.0,https://www.amazon.com/dp/B086QT2Y86?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/c364a2ad0b5ee287c355c84251ec1042.256p.jpg,80,LGA 1200,Intel Z490,DDR4,0,4,128,3,3,3,6,1x 1GB/s + 1x 5GB/s,Wi-Fi 6,ATX
ASRock H510M-HVS Micro ATX LGA1200 Motherboard,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/abcf801c75db5692ed08e9c0c3f49fbc.256p.jpg,80,LGA 1200,Intel H510,DDR4,0,2,64,1,1,0,4,1x 1GB/s,No,Micro-ATX
MSI H510M PRO Micro ATX LGA1200 Motherboard,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/f9e3e541c282e5d932fce04c93183883.256p.jpg,80,LGA 1200,Intel H510,DDR4,0,2,64,1,1,1,4,1x 1GB/s,No,Micro-ATX
ASRock B560 Steel Legend ATX LGA1200 Motherboard,4.8,185.5,https://www.amazon.com/dp/B08XMSQK1P?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/0a2040e9a0b15e6bafffe9e54958b55d.256p.jpg,80,LGA 1200,Intel B560,DDR4,0,4,128,2,2,3,6,1x 2.5GB/s,No,ATX
