name,rating,price,amazon_link,image_link,tdp,socket,chipset,ram_type,ram_max_speed,ram_slot,ram_max,pcie_x16_slot,pcie_x1_slot,m2_slot,sata_slot,lan,wifi,form_factor
Gigabyte GA-78LMT-USB3 Micro ATX AM3+ Motherboard,3.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/cdfe3f4184c6c151028e00f9abdda6a9.256p.jpg,80,AM3+,AMD 760G,DDR3,0,4,32,1,1,0,N/A,1x 1GB/s,No,Micro-ATX
Asus M5A78L-M LE/USB3 Micro ATX AM3+ Motherboard,N/A,N/A,N/A,https://images-eu.ssl-images-amazon.com/images/I/61bQGqogH0L.jpg,80,AM3+,AMD 760G,DDR3,0,2,16,1,1,0,N/A,1x 1GB/s,No,Micro-ATX
ASRock 970 Pro3 R2.0 ATX AM3+ Motherboard,4.4,N/A,N/A,https://m.media-amazon.com/images/I/41kOZCCRgmL.jpg,80,AM3+,AMD 970,DDR3,0,4,64,2,1,0,6,1x 1GB/s,No,ATX
ASRock 970 Pro3 ATX AM3+ Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/c68e404396c1365b98c3bdce95f0fecd.256p.jpg,80,AM3+,AMD 970,DDR3,0,4,32,2,1,0,6,1x 1GB/s,No,ATX
Biostar A960D+ Micro ATX AM3+ Motherboard,3.2,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/510vfQ3%2BGEL.jpg,80,AM3+,AMD 760G,DDR3,0,2,16,1,1,0,N/A,1x 1GB/s,No,Micro-ATX
ASRock A785GM-LE/128M Micro ATX AM3/AM2+/AM2 Motherboard,N/A,67.0,https://www.amazon.com/dp/B0031M9SPC?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/61UIqyNyMdL.jpg,80,AM3/AM2+/AM2,AMD 785G,DDR2,0,2,8,1,1,0,N/A,1x 1GB/s,No,Micro-ATX
ASRock 880GM-LE FX Micro ATX AM3+ Motherboard,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/61PB83Wi%2BdL.jpg,80,AM3+,AMD 880G,DDR3,0,2,8,1,1,0,N/A,1x 1GB/s,No,Micro-ATX
Zotac 890GXITX-A-E Mini ITX AM3 Motherboard,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/51oe2Ro%2B6-L.jpg,80,AM3,AMD 890GX,DDR3,0,2,8,0,1,0,4,1x 1GB/s,Wi-Fi 4 (2.4 GHz only),Mini-ITX
Zotac GF6100-E-E Mini ITX AM3/AM2+/AM2 Motherboard,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/610nTFMy4lL.jpg,80,AM3/AM2+/AM2,NVIDIA nForce 430 MCP,DDR2,0,2,4,0,1,0,N/A,1x 1GB/s,No,Mini-ITX
MSI B450M-A PRO MAX Micro ATX AM4 Motherboard,3.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/3cc58081f734541491b2bfe3b23193cb.256p.jpg,80,AM4,AMD B450,DDR4,3733,2,64,1,1,1,4,1x 1GB/s,No,Micro-ATX
MSI A520M-A PRO Micro ATX AM4 Motherboard,4.0,69.98,https://www.amazon.com/dp/B08HHMCCXV?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/f210cab1260cc8cd402ee007cc382029.256p.jpg,80,AM4,AMD A520,DDR4,2666,2,64,1,1,1,4,1x 1GB/s,No,Micro-ATX
Gigabyte B450M K Micro ATX AM4 Motherboard,4.0,84.27,https://www.amazon.com/dp/B0BNYVSPPD?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/b9ebe8eb9d11bc4ac792b0b4ee3cfc22.256p.jpg,80,AM4,AMD B450,DDR4,0,2,64,1,1,1,4,1x 1GB/s,No,Micro-ATX
Asus TUF GAMING B450-PLUS II ATX AM4 Motherboard,4.5,227.14,https://www.amazon.com/dp/B08LCP4N8Q?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/aebabc14761abc7b8d7c75e47871290d.256p.jpg,80,AM4,AMD B450,DDR4,0,4,128,2,3,2,6,1x 1GB/s,No,ATX
MSI B450 TOMAHAWK MAX II ATX AM4 Motherboard,4.2,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/118d595f83da3a4df004e96aeb90b6b1.256p.jpg,80,AM4,AMD B450,DDR4,0,4,128,2,3,1,6,1x 1GB/s,No,ATX
Gigabyte B450 AORUS M Micro ATX AM4 Motherboard,4.6,153.9,https://www.amazon.com/dp/B07FWY246F?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/9c229eef9d9724da36a40412ab564c17.256p.jpg,80,AM4,AMD B450,DDR4,0,4,64,2,1,1,6,1x 1GB/s,No,Micro-ATX
Gigabyte B550 AORUS PRO AC ATX AM4 Motherboard,4.7,306.4,https://www.amazon.com/dp/B089FTMG2B?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/1009a4848207e1aef6dc810d47ba4b38.256p.jpg,80,AM4,AMD B550,DDR4,0,4,128,3,2,2,6,1x 2.5GB/s,Wi-Fi 5,ATX
Gigabyte A520M H Micro ATX AM4 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/63b64f6b10bbfb2c406fdbf40bde777d.256p.jpg,80,AM4,AMD A520,DDR4,0,2,64,1,2,1,4,1x 1GB/s,No,Micro-ATX
MSI MAG B550M MORTAR Micro ATX AM4 Motherboard,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/064b80e6db991487b8a673fedbf947f6.256p.jpg,80,AM4,AMD B550,DDR4,0,4,128,2,2,2,6,1x 2.5GB/s,No,Micro-ATX
Gigabyte B450M S2H Micro ATX AM4 Motherboard,4.3,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/4c0cef1aab6e43c455a289e1bcb02d15.256p.jpg,80,AM4,AMD B450,DDR4,0,2,32,1,2,1,4,1x 1GB/s,No,Micro-ATX
MSI MPG B550 GAMING CARBON WIFI ATX AM4 Motherboard,4.5,399.9,https://www.amazon.com/dp/B08BWZGSHB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/cab701421ba984a3d3e69e6781624d1d.256p.jpg,80,AM4,AMD B550,DDR4,0,4,128,2,3,2,6,1x 2.5GB/s,Wi-Fi 6,ATX
Asus TUF GAMING B550M-PLUS (WI-FI) Micro ATX AM4 Motherboard,4.3,208.5,https://www.amazon.com/dp/B088VXTBWR?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/730c49e4ce20f872fe43a7c9a53b775f.256p.jpg,80,AM4,AMD B550,DDR4,0,4,128,2,1,2,4,1x 2.5GB/s,Wi-Fi 6,Micro-ATX
Gigabyte X570 AORUS ULTRA ATX AM4 Motherboard,4.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/98611dd0985f37fc66676d41b2588727.256p.jpg,80,AM4,AMD X570,DDR4,0,4,128,3,2,3,6,1x 1GB/s,Wi-Fi 6,ATX
MSI MAG B550M BAZOOKA Micro ATX AM4 Motherboard,4.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/a17c97dadd5b6357253e2b6ac02b3674.256p.jpg,80,AM4,AMD B550,DDR4,0,4,128,1,2,2,4,1x 1GB/s,No,Micro-ATX
Gigabyte B550 AORUS PRO ATX AM4 Motherboard,4.4,N/A,https://youtu.be/JxczZChFaZI?t=927,https://cdna.pcpartpicker.com/static/forever/images/product/b22b15a301bbfba8670a17c926e8669f.256p.jpg,80,AM4,AMD B550,DDR4,0,4,128,3,2,2,6,1x 2.5GB/s,No,ATX
Asus ROG Crosshair VII Hero (Wi-Fi) ATX AM4 Motherboard,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/9b0c678ccf7522e6ad454d3976a2e174.256p.jpg,80,AM4,AMD X470,DDR4,0,4,64,3,2,2,6,1x 1GB/s,Wi-Fi 5,ATX
MSI X470 GAMING PRO ATX AM4 Motherboard,4.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/dcb6611f58da74d1a2fbc3425e093cb1.256p.jpg,80,AM4,AMD X470,DDR4,0,4,64,3,3,2,6,1x 1GB/s,No,ATX
Asus Pro WS X570-ACE ATX AM4 Motherboard,4.0,589.0,https://www.amazon.com/dp/B07SYWKXJV?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/9272c6b3390c5ae9d4aecfee85bb45fa.256p.jpg,80,AM4,AMD X570,DDR4,0,4,128,3,1,2,4,1x 1GB/s,No,ATX
Gigabyte B550 AORUS PRO AX ATX AM4 Motherboard,4.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ea6f903c1b15ab06b1f0062a6c6f1eb2.256p.jpg,80,AM4,AMD B550,DDR4,0,4,128,3,2,2,6,1x 2.5GB/s,Wi-Fi 6,ATX
ASRock X570 Phantom Gaming X ATX AM4 Motherboard,5.0,N/A,N/A,https://m.media-amazon.com/images/I/51wxYWXoUtL.jpg,80,AM4,AMD X570,DDR4,0,4,128,3,2,3,8,1x 1GB/s + 1x 2.5GB/s,Wi-Fi 6,ATX
ASRock X570 Extreme4 ATX AM4 Motherboard,3.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2d1b2aac65d64d9f823e33f0680fa5c3.256p.jpg,80,AM4,AMD X570,DDR4,0,4,128,2,3,2,8,1x 1GB/s,No,ATX
MSI B450M PRO-M2 V2 Micro ATX AM4 Motherboard,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/0688cff3c45e71449a2be6441455301b.256p.jpg,80,AM4,AMD B450,DDR4,0,2,32,1,2,1,4,1x 1GB/s,No,Micro-ATX
MSI B550M PRO-DASH Micro ATX AM4 Motherboard,N/A,N/A,N/A,https://static/forever/img/no-image.png,80,AM4,AMD B550,DDR4,0,4,128,1,2,2,4,1x 1GB/s,No,Micro-ATX
MSI A520M PRO-C DASH Micro ATX AM4 Motherboard,N/A,N/A,N/A,https://m.media-amazon.com/images/I/51ghAuO3E2S.jpg,80,AM4,AMD A520,DDR4,0,2,64,1,2,1,4,1x 1GB/s,No,Micro-ATX
ASRock X570 Phantom Gaming-ITX/TB3 Mini ITX AM4 Motherboard,3.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/896d25ea1d8ea692bf45a9e527dfb076.256p.jpg,80,AM4,AMD X570,DDR4,0,2,64,1,0,1,4,1x 1GB/s,Wi-Fi 6,Mini-ITX
Gigabyte X570SI AORUS PRO AX Mini ITX AM4 Motherboard,4.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/bb7fb2cc19909b2f9e8af87a0058782d.256p.jpg,80,AM4,AMD X570,DDR4,0,2,64,1,0,2,4,1x 1GB/s,Wi-Fi 6,Mini-ITX
MSI PRO B650M-A WIFI Micro ATX AM5 Motherboard,4.4,139.9,https://www.amazon.com/dp/B0BHBZRW66?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/a7ffc5ab34c099836bb0ff9f9dfcab6d.256p.jpg,80,AM5,AMD B650,DDR5,0,4,192,2,1,2,4,1x 2.5GB/s,Wi-Fi 6E,Micro-ATX
MSI MAG X670E TOMAHAWK WIFI ATX AM5 Motherboard,4.5,224.0,https://www.amazon.com/dp/B0BYB3PGQW?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/c4516e2f81a19d4c9045028a3bae013b.256p.jpg,80,AM5,AMD X670E,DDR5,0,4,192,3,1,4,4,1x 2.5GB/s,Wi-Fi 6E,ATX
Asus TUF GAMING B650M-PLUS WIFI Micro ATX AM5 Motherboard,5.0,189.9,https://www.amazon.com/dp/B0BHMW2L8B?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/41f2fc275ab34cc9fcd97bea2a63ba7d.256p.jpg,80,AM5,AMD B650,DDR5,0,4,192,2,1,2,4,1x 2.5GB/s,Wi-Fi 6,Micro-ATX
ASRock B650E STEEL LEGEND WIFI ATX AM5 Motherboard,4.4,199.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fasrock-b650e-steel-legend-wifi%2Fp%2FN82E16813162081,https://cdna.pcpartpicker.com/static/forever/images/product/4b64346ef710dff8dd8aff4bf2077131.256p.jpg,80,AM5,AMD B650E,DDR5,0,4,192,2,0,3,2,1x 2.5GB/s,Wi-Fi 6E,ATX
Asus PROART B650-CREATOR ATX AM5 Motherboard,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/dd4cf8735aed68d6aafb67c7fe43d5a5.256p.jpg,80,AM5,AMD B650,DDR5,2400,4,192,3,1,3,4,1x 1GB/s + 1x 2.5GB/s,No,ATX
Asus PRIME B650M-A-CSM Micro ATX AM5 Motherboard,N/A,142.59,https://www.amazon.com/dp/B0BPRK5WVM?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/924954f164466be7ba031d7aac3daaca.256p.jpg,80,AM5,AMD B650,DDR5,0,4,128,3,0,2,4,1x 2.5GB/s,No,Micro-ATX
Gigabyte A620M C Micro ATX AM5 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/b37fdf19135c96a2fca8a2a0c754a34b.256p.jpg,80,AM5,AMD A620,DDR5,0,4,192,4,0,3,4,1x 1GB/s,Wi-Fi 5,Micro-ATX
Asus PRIME A620M-K-CSM Micro ATX AM5 Motherboard,N/A,N/A,N/A,https://static/forever/img/no-image.png,80,AM5,AMD A620,DDR5,2666,2,96,1,1,1,4,1x 1GB/s,No,Micro-ATX
MSI TRX40 PRO WIFI ATX sTRX4 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2844c750b1de91629131682de142ad05.256p.jpg,80,sTRX4,AMD TRX40,DDR4,0,8,256,4,1,2,8,2x 1GB/s,Wi-Fi 6,ATX
