name,rating,price,shop_url,image_url,type,efficiency,wattage,lenght
XFX P1-550S-XXBA 550 W 80+ Bronze Certified ATX Power Supply,0.0,0.0,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,Non Modular,80+ Bronze,550,180.0
Cougar VTE 600 W 80+ Bronze Certified ATX Power Supply,3.0,74.04,https://www.amazon.com/dp/B071RV6FPX?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/d7fc06a72a9a445b18814b618cb9fe3f.256p.jpg,Non Modular,80+ Bronze,600,0.0
Thermaltake TR2 600 W 80+ Bronze Certified ATX Power Supply,3.0,0.0,unknown,https://images-na.ssl-images-amazon.com/images/I/513I568hapL.jpg,Non Modular,80+ Bronze,600,140.0
be quiet! PURE POWER 9 CM 600 W 80+ Silver Certified Semi-modular ATX Power Supply,4.0,0.0,unknown,https://m.media-amazon.com/images/I/41vsUswn+VL.jpg,Semi Modular,80+ Silver,600,160.0
Silverstone NJ600 600 W 80+ Titanium Certified Fully Modular Fanless ATX Power Supply,0.0,0.0,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,Fully Modular,80+ Titanium,600,170.0
Thermaltake Toughpower Grand RGB 650 W 80+ Gold Certified Fully Modular ATX Power Supply,3.8,116.9,https://www.amazon.com/dp/B01N7GD5HN?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/83e4371175c6091bde1dd3e6dc1e48ce.256p.jpg,Fully Modular,80+ Gold,650,160.0
Corsair TX650M 650 W 80+ Gold Certified Semi-modular ATX Power Supply,4.7,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/ce3656f89d1a4d937f4390362cdfab3a.256p.jpg,Semi Modular,80+ Gold,650,140.0
Cooler Master MWE Bronze 650 650 W 80+ Bronze Certified ATX Power Supply,5.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/d362cef866c7c705972003a8fa724000.256p.jpg,Non Modular,80+ Bronze,650,140.0
Cooler Master V650 650 W 80+ Gold Certified Fully Modular ATX Power Supply,4.7,138.6,https://www.amazon.com/dp/B0185C5XXS?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41-p9gtd72L.jpg,Fully Modular,80+ Gold,650,140.0
SilentiumPC Supremo FM2 650 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/ffb4bdfa5eed6f45bc68cd3a57b69f29.256p.jpg,Fully Modular,80+ Gold,650,160.0
Thermaltake Smart DPS G 650 W 80+ Gold Certified Semi-modular ATX Power Supply,0.0,0.0,unknown,https://m.media-amazon.com/images/I/51Hp-9nQDXL.jpg,Semi Modular,80+ Gold,650,160.0
RIOTORO ONYX 650 650 W 80+ Bronze Certified Semi-modular ATX Power Supply,5.0,0.0,https://linustechtips.com/main/topic/1045610-new-psu-tier-list/,https://m.media-amazon.com/images/I/51Ua4oajpUL.jpg,Semi Modular,80+ Bronze,650,140.0
XFX P1-650X-CAH9 650 W 80+ Bronze Certified Fully Modular ATX Power Supply,0.0,0.0,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,Fully Modular,80+ Bronze,650,0.0
Deepcool DA700N 700 W 80+ Bronze Certified ATX Power Supply,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/c9831812311e57fe99dc98cc0fa9e031.256p.jpg,Non Modular,80+ Bronze,700,140.0
Rosewill LEPTON 700 700 W 80+ Gold Certified Semi-modular ATX Power Supply,4.5,0.0,unknown,https://m.media-amazon.com/images/I/51oAi05RWXL.jpg,Semi Modular,80+ Gold,700,140.0
Raidmax RX-700AC 700 W 80+ Bronze Certified Semi-modular ATX Power Supply,4.0,0.0,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,Semi Modular,80+ Bronze,700,140.0
Asus ROG Strix 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.7,130.3,https://www.amazon.com/dp/B07YXKMGX7?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/ba70a2eb144a1dafb714c0f37eaabc30.256p.jpg,Fully Modular,80+ Gold,750,160.0
