name,rating,price,amazon_link,image_link,tdp,pcie_gen,capacity,speed_read,speed_write
ADATA Swordfish 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.7,N/A,N/A,https://m.media-amazon.com/images/I/41IhbWsbCWL.jpg,10,3x4,250 GB,N/A,N/A
Crucial T700 W/Heatsink 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,N/A,140.41,https://www.amazon.com/dp/B0C3K344ZV?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/aeb312f0e26355b4840393bd66b512cb.256p.jpg,10,5x4,1 TB,5173,1654
TEAMGROUP MP44L 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.5,57.9,https://www.amazon.com/dp/B0B9Y3DB2K?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/b7e87809a48525a1340938718110fecc.256p.jpg,10,4x4,1 TB,2800,1985
TEAMGROUP MS30 1 TB M.2-2280 SATA Solid State Drive,4.4,47.9,https://www.amazon.com/dp/B07GL4M3HX?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/6c56efb792800668ebdf88501040055a.256p.jpg,10,N/A,1 TB,524,422
Inland QN322 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,66.9,https://www.amazon.com/dp/B0B96T9HWQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41qAE4r0DwL.jpg,10,3x4,1 TB,1493,426
TEAMGROUP T-Force Cardea Zero Z330 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/27a833ca4708b9c3f13e792c9bfa3a4b.256p.jpg,10,3x4,1 TB,N/A,N/A
Intel DC P4511 1 TB M.2-22110 PCIe 3.0 X4 NVME Solid State Drive,N/A,140.19,https://www.amazon.com/dp/B07GFRRVRQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/84de6e833584afed9af5e5ca118aa067.256p.jpg,10,3x4,1 TB,N/A,N/A
ADATA XPG SX6000 Pro 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,73.7,https://www.amazon.com/dp/B07H52ML35?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/26d88cb160f4692e5d14c156f67afa52.256p.jpg,10,3x4,1 TB,N/A,N/A
MSI SPATIUM M480 HS 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41IWMsYV4+L.jpg,10,4x4,1 TB,N/A,N/A
Lexar NM760 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://m.media-amazon.com/images/I/31++JXj74YL.jpg,10,4x4,1 TB,N/A,N/A
Western Digital WDS100T1XHE w/Heatsink 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,139.0,https://www.amazon.com/dp/B08PHSVW7K?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/82ae03f2b4a2b03e374b05d0a64774c7.256p.jpg,10,4x4,1 TB,N/A,N/A
TEAMGROUP Cardea A440 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.5,89.9,https://www.amazon.com/dp/B0921KF4JC?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/4ccb73baed8f94574445976fdb82509d.256p.jpg,10,4x4,1 TB,N/A,N/A
Corsair MP400 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,142.1,https://www.amazon.com/dp/B094412586?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/241e41e2359d93a4bf0df05de6255a65.256p.jpg,10,3x4,1 TB,N/A,N/A
ADATA XPG SX8100 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.0,129.9,https://adorama.rfvk.net/c/79301/1175784/1036?prodsku=ADSX81NP1TTC&u=https%3A%2F%2Fwww.adorama.com%2Fadsx81np1ttc.html&intsrc=CATF_9102,https://m.media-amazon.com/images/I/41i2gbE+JXS.jpg,10,3x4,1 TB,N/A,N/A
Micron 2400 1 TB M.2-2230 PCIe 4.0 X4 NVME Solid State Drive,N/A,79.98,https://www.amazon.com/dp/B0BWHDVR5R?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/ccaf68f658a1d2c75794a7db08c97461.256p.jpg,10,4x4,1 TB,N/A,N/A
Seagate Lightsaber Collection FireCuda 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,119.9,https://api.bestbuy.com/click/-/6598738/pdp?IPID=79301,https://cdna.pcpartpicker.com/static/forever/images/product/afccf3c7f0a1f0f11de3f2193b88f174.256p.jpg,10,4x4,1 TB,N/A,N/A
Addlink S68 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41zic0oz7VL.jpg,10,3x4,1 TB,N/A,N/A
