name,rating,price,amazon_link,image_link,max_cooler_height,radiator_size,gpu_length,form_factor,psu_length,pcie_slots
NZXT H510i ATX Mid Tower Case,4.4,109.9,https://nzxt.sjv.io/c/79301/1719474/20004?u=https%3A%2F%2Fnzxt.com%2Fproduct%2Fh510i,https://cdna.pcpartpicker.com/static/forever/images/product/6f63c51bf729ea9d12da08b83e11be22.256p.jpg,0,0,381,ATXMicro-ATXMini-ITX,0,7
Antec P101 Silent ATX Mid Tower Case,4.5,99.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fblack-antec-performance-series-atx-mid-tower%2Fp%2FN82E16811129242,https://cdna.pcpartpicker.com/static/forever/images/product/313708dfbfe87fc3f8b938bbbbbbc902.256p.jpg,0,0,450,ATXEATXMicro-ATXMini-ITX,0,8
Lian Li O11 Dynamic EVO ATX Mid Tower Case,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ea0dee3c3376cc6326ca2f4a73a054ac.256p.jpg,0,0,422,ATXEATXMicro-ATXMini-ITX,0,8
Phanteks ECLIPSE G500A DRGB ATX Mid Tower Case,4.8,120.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fmatte-white-phanteks-ph-ec500ga-dmw01a-atx-mid-tower%2Fp%2FN82E16811854121,https://cdna.pcpartpicker.com/static/forever/images/product/95d1bb1f0e887a2d187828078fe9cc11.256p.jpg,0,0,435,ATXEATXMicro-ATXMini-ITX,0,7
Corsair Obsidian 500D RGB SE ATX Mid Tower Case,4.6,N/A,N/A,https://m.media-amazon.com/images/I/41foKBkxTLL.jpg,0,0,370,ATXMicro-ATXMini-ITX,0,7
Thermaltake Tower 900 Snow Edition ATX Full Tower Case,4.0,229.9,https://www.amazon.com/dp/B01MTOVX8D?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://images-eu.ssl-images-amazon.com/images/I/51ZQ47jwAtL.jpg,0,0,400,ATXEATXMicro-ATXMini-ITX,0,8
Deepcool CH510 ATX Mid Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/c064a530018e1c8113ff6f601bc038c4.256p.jpg,0,0,380,ATXMicro-ATXMini-ITX,0,7
Lian Li Lancool II Mesh ATX Mid Tower Case,4.8,239.95,https://www.amazon.com/dp/B08CSRXFSQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/8e582cc36227645537c540233c6a91e9.256p.jpg,0,0,384,ATXEATXMicro-ATXMini-ITX,0,7
GAMDIAS ARGUS E4 ELITE ATX Mid Tower Case,4.0,59.9,https://www.amazon.com/dp/B08W58MCSB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/9b3ff2a0247d1f3d6d32a562d45d0d6d.256p.jpg,0,0,300,ATXMicro-ATXMini-ITX,0,7
Thermaltake Core X71 ATX Full Tower Case,4.5,101.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fblack-thermaltake-core-x71-tg-edition-atx-full-tower%2Fp%2FN82E16811133331,https://m.media-amazon.com/images/I/51+rm-7bM3L.jpg,0,0,278,ATXMicro-ATXMini-ITX,0,8
Phanteks Enthoo 719 ATX Full Tower Case,4.0,174.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fsatin-black-phanteks-enthoo-719-full-tower%2Fp%2FN82E16811854088,https://cdna.pcpartpicker.com/static/forever/images/product/70ef750a9d6dffb0b4d99f042db6a972.256p.jpg,0,0,503,ATXEATXMicro-ATXMini-ITXSSI-EEB,0,8
Phanteks Eclipse P300 ATX Mid Tower Case,4.4,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7c9e187b65ab4b281bc2ca0fe41a9aa7.256p.jpg,0,0,330,ATXMicro-ATXMini-ITX,0,7
Fractal Design Meshify 2 RGB ATX Mid Tower Case,5.0,466.9,https://www.amazon.com/dp/B08QZRZFN4?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/03afc651ad784f15c8116f0df09c32c0.256p.jpg,0,0,450,ATXEATXMicro-ATXMini-ITX,0,7
Antec P7 NEO ATX Mid Tower Case,3.0,69.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fblack-antec-p7-neo-atx-mid-tower%2Fp%2FN82E16811129274,https://cdna.pcpartpicker.com/static/forever/images/product/8d62e054a507f17e4857af81820a2080.256p.jpg,0,0,350,ATXEATXMicro-ATXMini-ITX,0,7
be quiet! Pure Base 600 ATX Mid Tower Case,5.0,89.9,https://www.amazon.com/dp/B01N9ONQSK?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/c9fd16dedee9c658bfa6612d9ce9f043.256p.jpg,0,0,280,ATXMicro-ATXMini-ITX,0,7
Montech AIR 100 ARGB MicroATX Mid Tower Case,4.9,66.9,https://www.bhphotovideo.com/c/product/1777261-REG/montech_air_100_argb_w_air_100_argb_micro_atx.html/BI/19488/KBID/11704,https://m.media-amazon.com/images/I/51oDEKNnR8S.jpg,0,0,330,Micro-ATXMini-ITX,0,4
BitFenix Nova Mesh M ARGB MicroATX Mini Tower Case,4.1,59.9,https://www.amazon.com/dp/B0BPHG6NSH?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/5d37abde46573441b53d2e1e38730175.256p.jpg,0,0,345,Micro-ATXMini-ITX,0,4
Deepcool MACUBE 110 MicroATX Mini Tower Case,4.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/f7187d56d56fc6f4c45f3d5a9c764dd9.256p.jpg,0,0,320,Micro-ATXMini-ITX,0,4
BitFenix Nova Mesh M ARGB MicroATX Mini Tower Case,4.8,59.0,https://www.amazon.com/dp/B0BPH61S9C?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/5d37abde46573441b53d2e1e38730175.256p.jpg,0,0,345,Micro-ATXMini-ITX,0,4
SAMA IM01 MicroATX Mini Tower Case,4.5,58.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fblack-sama-im01-micro-atx-tower%2Fp%2FN82E16811197012,https://cdna.pcpartpicker.com/static/forever/images/product/87dbfe1f1a567098dfe4b3754488f9f9.256p.jpg,0,0,335,Micro-ATXMini-ITX,0,4
Deepcool MATREXX 30 MicroATX Mini Tower Case,3.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/bb1d2107ac34c2309635712235c82e06.256p.jpg,0,0,250,Micro-ATXMini-ITX,0,4
Fractal Design Core 1000 USB 3.0 MicroATX Mid Tower Case,3.9,52.9,https://goto.walmart.com/c/79301/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F26819881,https://cdna.pcpartpicker.com/static/forever/images/product/a71b87c93a953bcd78a4d1f1fca14760.256p.jpg,0,0,210,Micro-ATXMini-ITXMini-DTX,0,4
Antec NX200M MicroATX Mid Tower Case,4.8,49.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fp%2F2AM-000V-001D4,https://cdna.pcpartpicker.com/static/forever/images/product/b9f53fa6d3dedcf9f18c0cbf92d99cdf.256p.jpg,0,0,275,Micro-ATXMini-ITX,0,4
Aerocool CS-106 MicroATX Mini Tower Case,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/77352d3b467612b618e9210f0fa1968f.256p.jpg,0,0,286,Micro-ATXMini-ITX,0,4
Cooler Master MasterBox MB311L ARGB MicroATX Mid Tower Case,4.3,98.33,https://www.amazon.com/dp/B0842TKK19?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/d840392c61d0ca639f108e4ca53d5f6a.256p.jpg,0,0,344,Micro-ATXMini-ITX,0,4
Cougar MG120 MicroATX Mini Tower Case,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8c6bc9574e2af235da461695546845eb.256p.jpg,0,0,330,Micro-ATXMini-ITX,0,4
KOLINK KLM-002 MicroATX Mini Tower Case,N/A,40.29,https://www.amazon.com/dp/B084BY393C?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/7ae4b6e26c03ddebb2aa7947ae5c6530.256p.jpg,0,0,150,Micro-ATXMini-ITX,0,4
Cougar MG130-G MicroATX Mini Tower Case,4.1,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/98267487764c13c214e983599a6e11ac.256p.jpg,0,0,330,Micro-ATXMini-ITX,0,4
CiT F3 MicroATX Mini Tower Case,N/A,N/A,N/A,https://m.media-amazon.com/images/I/410cuCcTV2L.jpg,0,0,315,Micro-ATXMini-ITX,0,4
KOLINK Citadel Mesh RGB MicroATX Mini Tower Case,4.3,67.54,https://www.amazon.com/dp/B08TZRNSJL?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/2eebf2edfcb06c7b134f5cd00502797c.256p.jpg,0,0,345,Micro-ATXMini-ITX,0,4
Corsair Carbide Series Air 240 MicroATX Mid Tower Case,4.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/3bbdead911400dadb9f85517c15020a8.256p.jpg,0,0,330,Micro-ATXMini-ITX,0,4
Jonsbo TK-1 MicroATX Mini Tower Case,5.0,156.0,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fp%2F2AM-006A-000E0%3Fitem%3D9SIAY3SJXE5904,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,0,0,280,Micro-ATXMini-ITX,0,4
Silverstone CS351 MicroATX Desktop Case,N/A,188.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fp%2F2KH-003M-00027,https://cdna.pcpartpicker.com/static/forever/images/product/e75fde5c5eef2231effdec030c0ed202.256p.jpg,0,0,249,Micro-ATXMini-ITXMini-DTX,0,4
Vetroo M01 MicroATX Mid Tower Case,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/67c4d1b0c2041ad8fe2df010ffa997f8.256p.jpg,0,0,340,Micro-ATXMini-ITX,0,4
Aerocool CS-101 MicroATX Slim Case,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41nojub-xcL.jpg,0,0,240,Micro-ATXMini-ITX,0,4
Cooler Master MasterCase Pro 3 MicroATX Mini Tower Case,4.3,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/795052b65a53fec67bbee8e88c6d8975.256p.jpg,0,0,258,Micro-ATXMini-ITX,0,5
Antec DARK CUBE MicroATX Mini Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/59ba0a864d53f25f6a490457de83519d.256p.jpg,0,0,330,Micro-ATXMini-ITX,0,4
Thermaltake AH T200 MicroATX Mid Tower Case,N/A,317.6,https://www.amazon.com/dp/B08KBTYQJL?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/cb14d38eb867e0b57ca76a5f38fd4ab0.256p.jpg,0,0,320,Micro-ATXMini-ITX,0,5
Antec NSK3100 MicroATX Mini Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/e58c1868ee7485038f201f90c8b97f63.256p.jpg,0,0,317,Micro-ATXMini-ITX,0,4
Deepcool SMARTER MicroATX Mini Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ed191d8843b31aeb084b873b38367d7b.256p.jpg,0,0,320,Micro-ATXMini-ITX,0,4
In Win Z583T.CQ350TB3L MicroATX Mini Tower Case w/350 W Power Supply,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/51MrervcidL.jpg,0,0,0,Micro-ATXMini-ITX,0,4
RAIJINTEK PAEAN M MicroATX Mini Tower Case,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/fcb1d2bc1b1b75c95d1b9136355ed9db.256p.jpg,0,0,430,Micro-ATXMini-ITX,0,5
Jonsbo V4 MicroATX Mini Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8ebb009259b1d8452d7df2efbbf826e6.256p.jpg,0,0,260,Micro-ATXMini-ITX,0,4
Aerocool Trinity Mini V3 MicroATX Mini Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7ec33d36183e41791620b835acafa3b1.256p.jpg,0,0,297,Micro-ATXMini-ITX,0,4
Noua Fobia L7 MicroATX Mid Tower Case,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41ecGZWWbBL.jpg,0,0,330,Micro-ATXMini-ITX,0,4
CiT F3 MicroATX Mini Tower Case,4.0,N/A,N/A,https://m.media-amazon.com/images/I/410cuCcTV2L.jpg,0,0,315,Micro-ATXMini-ITX,0,4
VIVO CASE-V06 MicroATX Mid Tower Case,3.3,N/A,N/A,https://m.media-amazon.com/images/I/41DJUXw7l5L.jpg,0,0,330,Micro-ATXMini-ITX,0,4
Silverstone SG02B-F-USB3.0 MicroATX Desktop Case,2.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/96a75f8ae666bf7313a9c4b058ea5ed7.256p.jpg,0,0,368,Micro-ATXMini-ITX,0,4
Rosewill Line-M MicroATX Mini Tower Case,4.0,N/A,N/A,https://images-fe.ssl-images-amazon.com/images/I/41E1AkgeZVL.jpg,0,0,317,Micro-ATXMini-ITX,0,5
Cougar Spike MicroATX Mini Tower Case,4.3,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/41rE9rXh-%2BL.jpg,0,0,330,Micro-ATXMini-ITX,0,4
RAIJINTEK COEUS ELITE TC MicroATX Mini Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/66fe229fef7f845914fa608ea3327922.256p.jpg,0,0,350,Micro-ATXMini-ITX,0,5
Montech Flyer White MicroATX Mid Tower Case,5.0,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,0,0,330,Micro-ATXMini-ITX,0,4
Silverstone FT03 MicroATX Mini Tower Case,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/34b629d25e09068073046eaddffdf383.256p.jpg,0,0,349,Micro-ATXMini-ITXThin-Mini-ITX,0,4
Apevia X-QPack3 MicroATX Mini Tower Case,4.5,N/A,N/A,https://m.media-amazon.com/images/I/51o4-7y7RCL.jpg,0,0,320,Micro-ATXMini-ITX,0,4
HEC EnterpriseH585 MicroATX Mid Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/be5276f6cd072f06b2f84a080c5fd1f7.med.256p.jpg,0,0,0,ATXMicro-ATXMini-ITX,0,7
CiT F3 MicroATX Mini Tower Case,1.0,N/A,N/A,https://m.media-amazon.com/images/I/410cuCcTV2L.jpg,0,0,315,Micro-ATXMini-ITX,0,4
Montech Flyer Black MicroATX Mid Tower Case,3.0,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,0,0,330,Micro-ATXMini-ITX,0,4
In Win BL631.300TBL MicroATX Slim Case w/300 W Power Supply,4.0,N/A,N/A,https://m.media-amazon.com/images/I/31ixcT9TzwL.jpg,0,0,0,Micro-ATXMini-ITX,0,4
Xigmatek Scorpio MicroATX Mid Tower Case,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/4318b124e558febb39b938b9b1160d28.256p.jpg,0,0,330,Micro-ATXMini-ITX,0,4
SHARKOON T9 Value MicroATX Mid Tower Case,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41wibCDd8XL.jpg,0,0,300,ATXMicro-ATXMini-ITX,0,7
Cooler Master MasterBox MB400L with ODD MicroATX Mini Tower Case,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41acTRgLgmL.jpg,0,0,344,Micro-ATXMini-ITX,0,4
Apevia X-QPack2 MicroATX Desktop Case w/500 W Power Supply,N/A,N/A,N/A,https://m.media-amazon.com/images/I/51yD3Ndz5PL.jpg,0,0,0,Micro-ATXMini-ITX,0,4
AvP Hyperion EV33 MicroATX Mini Tower Case,N/A,N/A,N/A,https://images-eu.ssl-images-amazon.com/images/I/51-On9zrsOL.jpg,0,0,300,Micro-ATXMini-ITX,0,4
Thermaltake Core V1 Mini ITX Desktop Case,4.7,49.99,https://www.amazon.com/dp/B00M2UKGSM?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/3dcf400277143ca9a8f823f6df9f526b.256p.jpg,0,0,255,Mini-ITX,0,2
Lian Li TU150 Mini ITX Desktop Case,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/a6aaaedb92f9c8d97f6c902a68821e04.256p.jpg,0,0,320,Mini-ITXMini-DTX,0,3
Silverstone Sugo 16 Mini ITX Tower Case,N/A,83.0,https://www.amazon.com/dp/B09MW467GQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41WNKBNz1CL.jpg,0,0,275,Mini-ITXMini-DTX,0,2
Fractal Design Node 304 Mini ITX Tower Case,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/d4601be3b89341d6b9f38bdcea9a54c1.256p.jpg,0,0,310,Mini-ITXThin-Mini-ITXMini-DTX,0,2
RAIJINTEK OPHION ELITE TITAN Mini ITX Tower Case,N/A,N/A,N/A,https://m.media-amazon.com/images/I/412Hf7GCMTL.jpg,0,0,320,Mini-ITX,0,3
Fractal Design Era ITX Mini ITX Desktop Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/55d17f3730a3fb119563f0ffafcbac5f.256p.jpg,0,0,190,Mini-ITX,0,2
NZXT H200i Mini ITX Tower Case,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/a9c716c640ef590b84480fcd9531e0ae.256p.jpg,0,0,325,Mini-ITX,0,2
BitFenix Prodigy Mini ITX Tower Case,4.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7d764623b7b1dce62e8ce54072d71c8f.med.256p.jpg,0,0,177,Mini-ITXThin-Mini-ITX,0,2
DAN Cases A4 SFX Mini ITX Desktop Case,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/676bfdbfbb91127ca15ecb06fa98e38e.256p.jpg,0,0,295,Mini-ITX,0,2
Lian Li PC-Q09F Mini ITX Desktop Case w/150 W Power Supply,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/41Il5TU-iXL.jpg,0,0,0,Mini-ITXThin-Mini-ITX,0,0
MagniumGear NEO MINI Mini ITX Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2942d14b6f4a47e72a2129a52b904b75.256p.jpg,0,0,345,Mini-ITX,0,2
Lian Li PC-Q36W Mini ITX Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2e0d1ba40f17bf1812811bb1d20de52e.256p.jpg,0,0,300,Mini-ITX,0,2
RAIJINTEK METIS EVO ALS Mini ITX Desktop Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/5725c830c5f12b724b9819230c494fb0.256p.jpg,0,0,220,Mini-ITX,0,2
Silverstone SG07-B Mini ITX Desktop Case w/600 W Power Supply,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/41xrB6HdkxL.jpg,0,0,309,Mini-ITXThin-Mini-ITX,0,2
RAIJINTEK Metis Mini ITX Tower Case,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7001e56f178771705031c2d85da244cc.256p.jpg,0,0,170,Mini-ITX,0,2
ADATA XPG VALOR AIR ATX Mid Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/405634d49bd20054346eef6119834cec.256p.jpg,0,0,335,ATXMicro-ATXMini-ITX,0,7
Thermaltake H200 TG RGB ATX Mid Tower Case,3.8,N/A,N/A,https://m.media-amazon.com/images/I/31EcXrFMJyL.jpg,0,0,320,ATXMicro-ATXMini-ITX,0,7
BitFenix Nova Mesh SE ATX Mid Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/f550ada2c229dd7ee844ba64145d6004.256p.jpg,0,0,315,ATXMicro-ATXMini-ITX,0,7
