name,rating,price,amazon_link,image_link,tdp,memory,effective memory clock,core clock,boost clock,length,case expansion slot width,external power
EVGA XC ULTRA GAMING GeForce RTX 2080 Ti 11 GB Video Card,4.8,1079.0,https://www.amazon.com/dp/B07GHW9VJZ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/999152f83633f6574fb24c8fa6717937.256p.jpg,250,11GB GDDR6,14000,1350,1650,270,3,2x 8-pin
EVGA GAMING GeForce RTX 2080 Ti 11 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/03524d3eecccc31527c359f9de79d9c7.256p.jpg,250,11GB GDDR6,14000,1350,1545,266,2,2x 8-pin
Gigabyte EAGLE OC Rev 2.0 GeForce RTX 3060 12GB 12 GB Video Card,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/20f2e11eabbca0c2bc0740a93ccc16f2.256p.jpg,170,12GB GDDR6,15000,1320,1807,242,2,1x 8-pin
Asus DUAL V2 GeForce RTX 3060 12GB 12 GB Video Card,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/a6cfb4e58daecb7b49fb19b0f5268a56.256p.jpg,170,12GB GDDR6,15000,1320,1807,200,2,1x 8-pin
Palit StormX OC GeForce RTX 4060 Ti 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/cfb5494d251b2addd37e4c4d4c04981e.256p.jpg,160,8GB GDDR6,18000,2310,2670,170,2,1x 8-pin
Gigabyte EAGLE OC GeForce RTX 3060 Ti 8 GB Video Card,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ac8d50da2c39968954aaa1049f2a1d31.256p.jpg,200,8GB GDDR6X,19000,1665,1680,282,2,2x 8-pin
Asus TUF GAMING GeForce RTX 3060 Ti 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/c9714f6dbbedaf6db55e09b813da8374.256p.jpg,200,8GB GDDR6,14000,1410,1695,301,2,1x 8-pin
MSI VENTUS 3X OC GeForce RTX 3070 Ti 8 GB Video Card,4.8,589.99,https://www.amazon.com/dp/B096HQC9Y5?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41oGp2NgDgS.jpg,290,8GB GDDR6X,19000,1575,1800,316,2,2x 8-pin
Asus TUF GAMING GeForce RTX 3070 Ti 8 GB Video Card,4.0,699.0,https://www.amazon.com/dp/B0981VN5TY?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/03aa69ca543ecd826b3981f282ed1226.256p.jpg,290,8GB GDDR6X,19000,1575,1800,300,2,2x 8-pin
EVGA XC3 BLACK GAMING GeForce RTX 3070 LHR 8 GB Video Card,N/A,449.51,https://www.amazon.com/dp/B099LZYKXF?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/47bc85207988a6def8453eb16dc6531d.256p.jpg,220,8GB GDDR6,N/A,1500,1725,285,2,2x 8-pin
Inno3D iChill X4 GeForce RTX 3070 LHR 8 GB Video Card,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41sDxFU0WnL.jpg,220,8GB GDDR6,14000,1500,1785,300,2,2x 8-pin
Asus ProArt Advanced GeForce RTX 4060 Ti 16 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/0bfed873be9b68ca2dd25e3e8e76a62f.256p.jpg,165,16GB GDDR6,N/A,2310,2580,300,2,1x 8-pin
Inno3D Twin X2 GeForce RTX 4070 12 GB Video Card,4.2,747.08,https://www.amazon.com/dp/B0C28SL7G2?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/9c78fb55e35bafe078904b68e79ebb08.256p.jpg,200,12GB GDDR6X,N/A,1920,2475,250,2,1x 8-pin
Inno3D TWIN X2 OC WHITE GeForce RTX 4070 12 GB Video Card,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41sdChHEpJL.jpg,200,12GB GDDR6X,N/A,1920,2505,250,2,1x 8-pin
