name,rating,price,amazon_link,image_link,max_cooler_height,radiator_size,gpu_length,form_factor,psu_length,pcie_slots
Fractal Design Meshify 2 Compact TG Light Tint ATX Mid Tower Case,4.8,124.9,https://www.bhphotovideo.com/c/product/1733308-REG/fractal_design_fd_c_mes2c_03_meshify_2_compact_atx.html/BI/19488/KBID/11704,https://cdna.pcpartpicker.com/static/forever/images/product/70ac697e3e6678daf16d38842957b0c0.256p.jpg,0,0,341,ATX/Micro-ATX/Mini-ITX,0,7
Antec P101 Silent ATX Mid Tower Case,4.5,99.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fblack-antec-performance-series-atx-mid-tower%2Fp%2FN82E16811129242,https://cdna.pcpartpicker.com/static/forever/images/product/313708dfbfe87fc3f8b938bbbbbbc902.256p.jpg,0,0,450,ATX/EATX/Micro-ATX/Mini-ITX,0,8
Phanteks Evolv X ATX Mid Tower Case,4.8,155.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fsatin-black-phanteks-enthoo-evolv-x-atx-mid-tower%2Fp%2FN82E16811854078,https://cdna.pcpartpicker.com/static/forever/images/product/e31d4076cb36669cf6754670d0fccefc.256p.jpg,0,0,435,ATX/EATX/Micro-ATX/Mini-ITX,0,7
Phanteks ECLIPSE G500A Performance ATX Mid Tower Case,5.0,119.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fblack-phanteks-ph-ec500ga-bbk01-atx-mid-tower%2Fp%2FN82E16811854118,https://cdna.pcpartpicker.com/static/forever/images/product/1cbbe4f8cd86e0607060450edf1c83eb.256p.jpg,0,0,435,ATX/EATX/Micro-ATX/Mini-ITX,0,7
Thermaltake V250 TG ARGB Air ATX Mid Tower Case,5.0,79.9,https://www.amazon.com/dp/B09H3GCV43?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/724d789d9c998886d4546d6b1bfd3dee.256p.jpg,0,0,320,ATX/EATX/Micro-ATX/Mini-ITX,0,7
Thermaltake Core P8 TG ATX Full Tower Case,4.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/e8eda9287fd7bdba3b0952fd9567cccf.256p.jpg,0,0,280,ATX/EATX/Micro-ATX/Mini-ITX,0,8
Rosewill Zircon I ATX Mid Tower Case,3.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2fbc4dbfc0661f5051a5ef0bfce9705e.256p.jpg,0,0,350,ATX/Micro-ATX/Mini-ITX,0,7
Fractal Design Meshify 2 Compact White TG Clear Tint ATX Mid Tower Case,4.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/747683ff402e9076609f9a4ee5e64d6e.256p.jpg,0,0,341,ATX/Micro-ATX/Mini-ITX,0,7
Deepcool MACUBE 110 MicroATX Mini Tower Case,4.4,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/f7187d56d56fc6f4c45f3d5a9c764dd9.256p.jpg,0,0,320,Micro-ATX/Mini-ITX,0,4
Fractal Design Node 804 MicroATX Mid Tower Case,4.6,124.9,https://www.bhphotovideo.com/c/product/1561261-REG/fractal_design_fd_ca_node_804_bl_w_node_804_microatx_chassis.html/BI/19488/KBID/11704,https://cdna.pcpartpicker.com/static/forever/images/product/9886185e66d27730b7d04cc2f26c232e.256p.jpg,0,0,290,Micro-ATX/Mini-ITX,0,5
Jonsbo D30 MicroATX Mini Tower Case,4.7,116.13,https://www.amazon.com/dp/B0BCKB564L?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/acf3ec1251463a901a0899ee084f3399.256p.jpg,0,0,305,Micro-ATX/Mini-ITX/Mini-DTX,0,4
Cougar MG140 Air RGB MicroATX Mini Tower Case,4.0,N/A,N/A,https://m.media-amazon.com/images/I/41gQdfpw7mL.jpg,0,0,350,Micro-ATX/Mini-ITX,0,4
NZXT H400i MicroATX Mini Tower Case,4.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6eefe518c7238492e201cad2e26ac36a.256p.jpg,0,0,411,Micro-ATX/Mini-ITX,0,4
BitFenix Prodigy M 2022 ARGB MicroATX Mini Tower Case,N/A,89.9,https://www.amazon.com/dp/B09FLRGFV9?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/15ac7498bb575df9f9052011190e4634.256p.jpg,0,0,339,Micro-ATX/Mini-ITX,0,5
GameMax Expedition MicroATX Mini Tower Case,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/78f7c50affcce4a0169417346398711f.256p.jpg,0,0,340,Micro-ATX/Mini-ITX,0,4
Cooler Master Elite 100 MicroATX Slim Case w/150 W Power Supply,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/41Sz8y47waL.jpg,0,0,0,Micro-ATX/Mini-ITX/Thin Mini-ITX,0,0
NZXT H400i MicroATX Mini Tower Case,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6eefe518c7238492e201cad2e26ac36a.256p.jpg,0,0,411,Micro-ATX/Mini-ITX,0,4
GameMax Kamikaze PRO MicroATX Mini Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/be8749f383cd63a7ec0871f20a097a94.256p.jpg,0,0,365,Micro-ATX/Mini-ITX,0,4
Silverstone PS08B MicroATX Mid Tower Case,3.8,N/A,N/A,https://m.media-amazon.com/images/I/51i+pwFD-JL.jpg,0,0,358,Micro-ATX/Mini-ITX/Thin Mini-ITX,0,4
Cooler Master MasterBox MB400L with ODD MicroATX Mini Tower Case,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41acTRgLgmL.jpg,0,0,344,Micro-ATX/Mini-ITX,0,4
Lian Li PC-V359W MicroATX Mid Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/dbb7c5b25545f8367c2aac43080e3e57.256p.jpg,0,0,320,Micro-ATX/Mini-ITX,0,4
Antec NSK1480 MicroATX Desktop Case w/350 W Power Supply,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41ICWIzp1DL.jpg,0,0,0,Micro-ATX/Mini-ITX/Thin Mini-ITX,0,4
DAN Cases C4-SFXv1 Mini ITX Desktop Case,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2fbb361ed7c566de9b972a106bd4fc6d.256p.jpg,0,0,334,Mini-ITX/Mini-DTX,0,3
Silverstone SG13 Mini ITX Tower Case,4.5,64.56,https://www.amazon.com/dp/B00U8IS89E?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/13f6c2e8e313652aa764869f6acd93f5.256p.jpg,0,0,267,Mini-ITX/Mini-DTX,0,2
Silverstone RVZ03 Mini ITX Desktop Case,4.1,140.15,https://www.amazon.com/dp/B073HDFQKJ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41Dxg-wcGML.jpg,0,0,330,Mini-ITX,0,2
Streacom DA2 V2 Mini ITX Desktop Case,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2d9f7ddc916d6b15e9195383e84f1709.256p.jpg,0,0,330,Mini-ITX/Mini-DTX,0,2
Zalman M2 Mini Silver Mini ITX Desktop Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/be1f2bcda58993ddf3595a1763c71b69.256p.jpg,0,0,295,Mini-ITX,0,2
Silverstone CS280B Mini ITX Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/12f3f658beb5aa536235e4b56d8ceb3d.256p.jpg,0,0,219.964,Mini-ITX/Mini-DTX,0,2
Phanteks Enthoo EVOLV ITX Mini ITX Tower Case,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/876bebfce9eb67ee26a36c96da9540d0.256p.jpg,0,0,330,Mini-ITX,0,2
Jonsbo T8 PLUS Mini ITX Desktop Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/b745a450315786f3dba31753d9ad1822.256p.jpg,0,0,270,Mini-ITX,0,3
Lian Li PC-Q11 Mini ITX Tower Case,5.0,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/41896FpxabL.jpg,0,0,240,Mini-ITX/Thin Mini-ITX,0,2
Lian Li PC-Q11 Mini ITX Tower Case,5.0,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/41896FpxabL.jpg,0,0,240,Mini-ITX/Thin Mini-ITX,0,2
Silverstone SG13 V2 Mini ITX Tower Case,N/A,N/A,N/A,https://m.media-amazon.com/images/I/51HR7ccS0cS.jpg,0,0,267,Mini-ITX/Mini-DTX,0,2
Raidmax Element Mini ITX Desktop Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ab032ded2644b544fcb5197f784cbc8b.256p.jpg,0,0,318,Mini-ITX,0,2
Athenatech A1089HG.150 Mini ITX Tower Case w/150 W Power Supply,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41gUgsppewL.jpg,0,0,0,Mini-ITX/Thin Mini-ITX,0,1
Foxconn RS-233(H)+DSL-150-4SS Mini ITX Tower Case w/150 W Power Supply,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,0,0,0,Mini-ITX/Thin Mini-ITX,0,1
Lian Li PC-TU200 Mini ITX Tower Case,5.0,N/A,N/A,https://m.media-amazon.com/images/I/41EQrRV7khL.jpg,0,0,300,Mini-ITX/Thin Mini-ITX,0,2
Lian Li PC-Q33 Mini ITX Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/d460a9c3ae0c8327b02951e2176368cf.256p.jpg,0,0,220,Mini-ITX/Mini-DTX,0,2
Lian Li PC-Q33 Mini ITX Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/d460a9c3ae0c8327b02951e2176368cf.256p.jpg,0,0,220,Mini-ITX/Mini-DTX,0,2
be quiet! Dark Base Pro 900 Rev. 2 ATX Full Tower Case,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/dd7736f473b1e81880bb28e7a2a6c094.256p.jpg,0,0,323,ATX/EATX/Micro-ATX/Mini-ITX/XL-ATX,0,8
Corsair Obsidian Series 750D ATX Full Tower Case,4.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/c53099401cf671d634e227a3ae029198.256p.jpg,0,0,340,ATX/EATX/Micro-ATX/Mini-ITX/XL-ATX,0,9
MSI MPG GUNGNIR 110M ATX Mid Tower Case,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/b76e56acc2a38876ff7c5c35dfccf396.256p.jpg,0,0,340,ATX/Micro-ATX/Mini-ITX,0,7
